Player_Name,Player_Type,Role,Runs,Balls_Faced,Strike_Rate,Opponent_Team,Opponent_Bowler,Bowler_Type,Bowler_Variation,Ball_Line,Ball_Length,How_Out,Ground,Country,Ground_Type,Ground_Dimensions,Pitch_Type,Weather,Shot_Strength,Weakness
Dananjaya De Silva,All-rounder,6,24,38,63.15,India,Siraj,Right Arm Fast,Bouncer,Off stump,Good length,Caught,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Humid,On-side,Right Arm Mystery
Pathum Nissanka,Batsman,3,6,17,35.29,Bangladesh,Mehidy,Right Arm Off Spin,Off Break,Leg stump,Bouncer,Stumped,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Dry,Off-side,Left Arm Chinaman
Dananjaya De Silva,All-rounder,6,46,59,77.96,England,Topley,Left Arm Medium,Swing,Leg stump,Yorker,Caught,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Cloudy,Short Ball,Left Arm Chinaman
Pathum Nissanka,Batsman,3,24,25,96.0,South Africa,Fortuin,Left Arm Orthodox,Arm Ball,Off stump,Short,Run Out,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Hot,Short Ball,Right Arm Fast
Kusal mendis,Batsman,4,23,51,45.09,India,Bumrah,Right Arm Fast,Yorker,Wide,Good length,Bowled,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Cloudy,Off-side,Left Arm Chinaman
Pathum Nissanka,Batsman,1,14,13,107.69,Bangladesh,Shakib,Left Arm Orthodox,Drift,Wide,Yorker,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Cloudy,Pace,Left Arm Medium
Kusal mendis,Batsman,4,119,119,100.0,Australia,Maxwell,Right Arm Off Spin,Arm Ball,Leg stump,Full,Run Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Cloudy,Short Ball,Left Arm Orthodox
Kusal mendis,Batsman,3,4,17,23.52,Australia,Ellis,Right Arm Fast,Yorker,Wide,Full,Bowled,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Hot,Spin,Right Arm Leg Spin
Dananjaya De Silva,All-rounder,6,50,92,54.34,England,Livingstone,Right Arm Off Spin,Arm Ball,Middle stump,Short,Run Out,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Hot,On-side,Right Arm Medium
Sadeera samarawickrama,Batsman,4,54,77,70.12,South Africa,Fortuin,Left Arm Orthodox,Arm Ball,Off stump,Full,LBW,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Dry,Off-side,Left Arm Medium
